readme_present,readme_run_instructions_present,all_notebooks_found,target_notebooks_found,valid_target_notebooks,target_notebook_names,notebook_target_rule,valid_target_notebooks_with_src_import,target_notebooks_with_src_import_names,function_docstring_ratio,validation_function_present,validation_raise_present,validation_none_or_type_guard,validation_empty_guard,validation_required_columns_guard,validation_missing_values_guard,validation_target_guard,validation_dtype_guard,validation_range_or_domain_guard,core_module_count,processed_data_artifact_present,model_artifact_present,prediction_artifact_present,structured_asset_paths_present,environment_yml_present,conda_yml_present,ruff_issue_count,pylint_score,radon_average_cc,pytest_passed,pytest_pass_count,pytest_fail_count,pytest_error_count,pytest_total_count,pytest_pass_rate,coverage_pct,pytest_timeout,pytest_import_error,git_unique_contributors,github_prs_found,github_unique_pr_authors,github_unique_reviewers,github_api_authenticated,repo_id,repo_url,branch,cutoff_commit,is_benchmark,dimensions_run,main_entry_signal,orchestrated_module_count,stub_penalty_flag
1,1,2,1,1,notebooks/telecomchurn_Exp.ipynb,"name contains exp, experiment, sandbox, sanbox, sand, model_main, or modular, excluding legacy, and notebook imports from src",1,notebooks/telecomchurn_Exp.ipynb,0.181,1,1,1,1,1,1,0,0,1,8,0,1,0,0,1,0,6,9.15,4.429,1,117,0,0,117,1.0,87.0026525198939,0,0,13,34,5,4,1,01_moanv2_1-mlops-kickoff-repo,https://github.com/moanv2/1-mlops-kickoff-repo,main,38050b65967e6bfa4fabda416e3dbd4b716525cf,0,"artifacting,code_quality,dependencies,documentation,error_handling,modularization,pipeline,testing,version_control",1,7,0
1,1,2,1,1,notebooks/01_voyageiq_analysis_vExp.ipynb,"name contains exp, experiment, sandbox, sanbox, sand, model_main, or modular, excluding legacy, and notebook imports from src",1,notebooks/01_voyageiq_analysis_vExp.ipynb,1.0,1,1,0,1,1,1,0,0,0,8,1,1,1,1,1,0,23,6.95,6.583,1,93,0,0,93,1.0,94.23728813559322,0,0,10,22,6,2,1,02_mohammedeia_1-mlops-kickoff-repo,https://github.com/mohammedeia/1-mlops-kickoff-repo,main,b206ad50e9cfd35d3885f389cdfacccb40d815ea,0,"artifacting,code_quality,dependencies,documentation,error_handling,modularization,pipeline,testing,version_control",1,8,0
1,1,3,2,2,01_iris_analysis_vExp.ipynb | notebooks/01_iris_analysis_vExp.ipynb,"name contains exp, experiment, sandbox, sanbox, sand, model_main, or modular, excluding legacy, and notebook imports from src",2,01_iris_analysis_vExp.ipynb | notebooks/01_iris_analysis_vExp.ipynb,0.689,1,1,1,1,1,0,0,0,0,8,1,1,1,1,1,0,9,7.68,4.0,1,48,0,0,48,1.0,72.94117647058823,0,0,11,21,5,2,1,03_cesargrobles_session1-kickoff,https://github.com/cesargrobles/session1-kickoff,main,dc9405175e934716485456ddaa7cc9b576e409d5,0,"artifacting,code_quality,dependencies,documentation,error_handling,modularization,pipeline,testing,version_control",1,6,0
1,1,2,1,1,Notebook/titanic_ntbk_sandbox_v2.ipynb,"name contains exp, experiment, sandbox, sanbox, sand, model_main, or modular, excluding legacy, and notebook imports from src",1,Notebook/titanic_ntbk_sandbox_v2.ipynb,0.418,1,1,1,1,1,0,0,1,0,8,1,1,1,1,1,0,16,7.65,5.15,1,40,0,0,40,1.0,85.82474226804123,0,0,14,36,5,0,1,04_iceman-git_1-mlops-kickoff-repo,https://github.com/iceman-git/1-mlops-kickoff-repo,main,45de07e455b39a2c1d3c1ff2f84237624d304897,0,"artifacting,code_quality,dependencies,documentation,error_handling,modularization,pipeline,testing,version_control",1,8,0
1,0,3,1,1,notebooks/Sanbox.ipynb,"name contains exp, experiment, sandbox, sanbox, sand, model_main, or modular, excluding legacy, and notebook imports from src",1,notebooks/Sanbox.ipynb,0.377,1,1,1,1,1,0,0,0,0,8,1,1,1,1,1,0,50,6.59,5.75,0,17,17,2,36,0.472222,53.48837209302326,0,1,13,20,6,4,1,05_ricardo-lievano-pedroza_1-mlops-kickoff-repo,https://github.com/ricardo-lievano-pedroza/1-mlops-kickoff-repo,main,144ea4e37e9a27c066902dc36c8e6d8f54b8cbe5,0,"artifacting,code_quality,dependencies,documentation,error_handling,modularization,pipeline,testing,version_control",1,8,0
1,1,0,0,0,,"name contains exp, experiment, sandbox, sanbox, sand, model_main, or modular, excluding legacy, and notebook imports from src",0,,0.426,1,1,0,1,1,0,0,1,1,8,1,1,1,1,1,0,0,9.1,9.692,1,33,0,0,33,1.0,86.73740053050398,0,0,11,3,1,1,1,06_rayanmazari90_1-mlops-kickoff-repo,https://github.com/rayanmazari90/1-mlops-kickoff-repo,main,8e56838409b0a15dcfe5ed714b6b5597cc0e5e0d,0,"artifacting,code_quality,dependencies,documentation,error_handling,modularization,pipeline,testing,version_control",1,8,0
1,1,1,1,1,notebooks/01_flight_delay_sandbox.ipynb,"name contains exp, experiment, sandbox, sanbox, sand, model_main, or modular, excluding legacy, and notebook imports from src",1,notebooks/01_flight_delay_sandbox.ipynb,0.218,1,1,0,0,1,1,1,0,1,8,1,1,1,1,1,0,22,8.82,3.176,1,90,0,0,90,1.0,85.6470588235294,0,0,8,33,4,4,1,07_cmiebach_1-mlops-kickoff-repo,https://github.com/cmiebach/1-mlops-kickoff-repo,main,97374f8aa2233235507b63dc523fbdc189b1cfcd,0,"artifacting,code_quality,dependencies,documentation,error_handling,modularization,pipeline,testing,version_control",1,8,0
1,1,3,1,1,notebooks/01_Churn_prediction_vExp.ipynb,"name contains exp, experiment, sandbox, sanbox, sand, model_main, or modular, excluding legacy, and notebook imports from src",1,notebooks/01_Churn_prediction_vExp.ipynb,0.714,1,1,0,1,0,0,1,1,1,8,1,1,1,1,1,0,21,7.96,6.05,0,0,0,0,0,,,0,0,12,14,5,3,1,08_JJR9903_1-mlops-kickoff-repo,https://github.com/JJR9903/1-mlops-kickoff-repo,main,349dbde36dda1a8063463a47e218eb97e8be0054,0,"artifacting,code_quality,dependencies,documentation,error_handling,modularization,pipeline,testing,version_control",1,8,0
1,1,1,0,0,,"name contains exp, experiment, sandbox, sanbox, sand, model_main, or modular, excluding legacy, and notebook imports from src",0,,0.523,1,1,1,1,1,0,0,0,0,8,1,1,1,1,1,0,4,8.45,5.2,1,26,0,0,26,1.0,91.33574007220217,0,0,10,17,3,1,1,10_Navenkumar-Balasubramaniam_1-mlops-kickoff-repo,https://github.com/Navenkumar-Balasubramaniam/1-mlops-kickoff-repo,main,5f91d0e67127f3eeca97a963e33cd1e0d23c243b,0,"artifacting,code_quality,dependencies,documentation,error_handling,modularization,pipeline,testing,version_control",1,8,0
1,1,2,1,1,notebooks/sandbox_pipeline_step_by_step.ipynb,"name contains exp, experiment, sandbox, sanbox, sand, model_main, or modular, excluding legacy, and notebook imports from src",1,notebooks/sandbox_pipeline_step_by_step.ipynb,0.098,1,1,0,1,1,1,1,1,1,8,1,1,1,1,1,0,2,8.95,4.733,1,60,0,0,60,1.0,99.62406015037594,0,0,10,19,5,3,1,11_npbeard_mlops-group8,https://github.com/npbeard/mlops-group8,main,dd376247d7700190a56cc389cbfbcb452da193cf,0,"artifacting,code_quality,dependencies,documentation,error_handling,modularization,pipeline,testing,version_control",1,7,0
