repo_id,repo_url,branch,cutoff_commit,is_benchmark,dimensions_run,single_entry_modularization,code_quality_efficiency,documentation_clarity,testing_coverage,dependency_management,error_handling_validation,artifacting_reproducibility,pipeline_completeness,version_control_workflow,total_raw_score
01_moanv2_1-mlops-kickoff-repo,https://github.com/moanv2/1-mlops-kickoff-repo,main,38050b65967e6bfa4fabda416e3dbd4b716525cf,0,"artifacting,code_quality,dependencies,documentation,error_handling,modularization,pipeline,testing,version_control",10.0,9.7,2.69,10.0,10.0,8.0,4.0,10.0,10.0,74.39
02_mohammedeia_1-mlops-kickoff-repo,https://github.com/mohammedeia/1-mlops-kickoff-repo,main,b206ad50e9cfd35d3885f389cdfacccb40d815ea,0,"artifacting,code_quality,dependencies,documentation,error_handling,modularization,pipeline,testing,version_control",10.0,8.07,4.0,10.0,10.0,6.0,10.0,10.0,8.0,76.07
03_cesargrobles_session1-kickoff,https://github.com/cesargrobles/session1-kickoff,main,dc9405175e934716485456ddaa7cc9b576e409d5,0,"artifacting,code_quality,dependencies,documentation,error_handling,modularization,pipeline,testing,version_control",8.0,9.3,3.5,9.03,10.0,6.0,10.0,10.0,8.0,73.83
04_iceman-git_1-mlops-kickoff-repo,https://github.com/iceman-git/1-mlops-kickoff-repo,main,45de07e455b39a2c1d3c1ff2f84237624d304897,0,"artifacting,code_quality,dependencies,documentation,error_handling,modularization,pipeline,testing,version_control",10.0,8.92,3.07,9.92,10.0,7.5,10.0,10.0,8.0,77.41
05_ricardo-lievano-pedroza_1-mlops-kickoff-repo,https://github.com/ricardo-lievano-pedroza/1-mlops-kickoff-repo,main,144ea4e37e9a27c066902dc36c8e6d8f54b8cbe5,0,"artifacting,code_quality,dependencies,documentation,error_handling,modularization,pipeline,testing,version_control",10.0,7.28,1.8,5.58,10.0,6.0,10.0,10.0,10.0,70.66
06_rayanmazari90_1-mlops-kickoff-repo,https://github.com/rayanmazari90/1-mlops-kickoff-repo,main,8e56838409b0a15dcfe5ed714b6b5597cc0e5e0d,0,"artifacting,code_quality,dependencies,documentation,error_handling,modularization,pipeline,testing,version_control",10.0,9.06,3.08,9.98,10.0,7.5,10.0,0.0,2.0,61.62
07_cmiebach_1-mlops-kickoff-repo,https://github.com/cmiebach/1-mlops-kickoff-repo,main,97374f8aa2233235507b63dc523fbdc189b1cfcd,0,"artifacting,code_quality,dependencies,documentation,error_handling,modularization,pipeline,testing,version_control",10.0,8.9,2.75,9.91,10.0,7.5,10.0,10.0,8.0,77.06
08_JJR9903_1-mlops-kickoff-repo,https://github.com/JJR9903/1-mlops-kickoff-repo,main,349dbde36dda1a8063463a47e218eb97e8be0054,0,"artifacting,code_quality,dependencies,documentation,error_handling,modularization,pipeline,testing,version_control",10.0,8.58,3.54,0.0,10.0,7.0,10.0,10.0,10.0,69.12
10_Navenkumar-Balasubramaniam_1-mlops-kickoff-repo,https://github.com/Navenkumar-Balasubramaniam/1-mlops-kickoff-repo,main,5f91d0e67127f3eeca97a963e33cd1e0d23c243b,0,"artifacting,code_quality,dependencies,documentation,error_handling,modularization,pipeline,testing,version_control",10.0,9.75,3.24,10.0,10.0,6.0,10.0,0.0,6.0,64.99
11_npbeard_mlops-group8,https://github.com/npbeard/mlops-group8,main,dd376247d7700190a56cc389cbfbcb452da193cf,0,"artifacting,code_quality,dependencies,documentation,error_handling,modularization,pipeline,testing,version_control",10.0,9.9,2.56,10.0,10.0,10.0,10.0,10.0,10.0,82.46
12_vik01_mlops-full,https://github.com/vik01/mlops-full,main,5bb2e4964c581d1d1969b92f74471dd21e55d3cc,0,"artifacting,code_quality,dependencies,documentation,error_handling,modularization,pipeline,testing,version_control",10.0,9.08,3.44,8.82,10.0,7.5,10.0,10.0,10.0,78.84
13_edendia_Group5_Fork,https://github.com/edendia/Group5_Fork,main,2f6ff786c912a8e0980d67a75f3aba5b05a5828b,0,"artifacting,code_quality,dependencies,documentation,error_handling,modularization,pipeline,testing,version_control",10.0,9.0,1.73,10.0,10.0,5.0,10.0,0.0,10.0,65.73
14_jclujan_my-project1-mlops,https://github.com/jclujan/my-project1-mlops,main,fafbb85ba01530c7c1b4e49724e36dd848f689eb,0,"artifacting,code_quality,dependencies,documentation,error_handling,modularization,pipeline,testing,version_control",10.0,8.76,2.65,9.9,10.0,9.5,10.0,10.0,6.0,76.81
15_sebog99_group6-mlops-kickoff-repo,https://github.com/sebog99/group6-mlops-kickoff-repo,main,ac2ae1edf23ff5cbeb12606aeb84a60bd47d2ae7,0,"artifacting,code_quality,dependencies,documentation,error_handling,modularization,pipeline,testing,version_control",10.0,9.85,3.54,9.35,10.0,6.0,10.0,0.0,8.0,66.74
16_robsrot_G2_MLOPS_Project,https://github.com/robsrot/G2_MLOPS_Project,main,7d19c319490ad0d3791af69e8268bf74eb7fb94c,0,"artifacting,code_quality,dependencies,documentation,error_handling,modularization,pipeline,testing,version_control",8.0,9.14,3.78,10.0,10.0,6.0,10.0,10.0,8.0,74.92
17_marcosinaniz-ai_mlops_group_1,https://github.com/marcosinaniz-ai/mlops_group_1,main,9c93ab7ac68366f78e219854ebf706757c068b76,0,"artifacting,code_quality,dependencies,documentation,error_handling,modularization,pipeline,testing,version_control",10.0,9.9,3.14,8.81,10.0,9.0,10.0,0.0,10.0,70.85
